package_name,used_version,serverity,downloadCount
moment.js:moment,2.29.1,high,30081
moment.js:moment,2.29.1,high,30081
moment.js:moment,2.24.0,high,28944
moment.js:moment,2.24.0,high,28944
moment.js:moment,2.24.0,high,28533
moment.js:moment,2.24.0,high,28533
axios:No_npm_name,0.21.1,high,28339
moment.js:moment,2.21.0,high,28318
moment.js:moment,2.21.0,high,28318
underscore.js:underscore,1.8.3,high,28278
moment.js:moment,2.29.1,high,27781
moment.js:moment,2.29.1,high,27781
jszip:No_npm_name,3.5.0,high,27606
moment.js:moment,2.20.1,high,27496
moment.js:moment,2.20.1,high,27496
axios:No_npm_name,0.21.0,high,27382
underscore.js:underscore,1.8.3,high,27381
moment.js:moment,2.29.1,high,27337
jszip:No_npm_name,3.5.0,high,27337
moment.js:moment,2.29.1,high,27337
axios:No_npm_name,0.19.2,high,26725
moment.js:moment,2.29.1,high,26054
moment.js:moment,2.29.1,high,26054
axios:No_npm_name,0.18.0,high,26040
axios:No_npm_name,0.18.0,high,26040
moment.js:moment,2.20.1,high,25810
moment.js:moment,2.20.1,high,25810
moment.js:moment,2.23.0,high,25655
moment.js:moment,2.23.0,high,25655
axios:No_npm_name,0.19.2,high,25411
underscore.js:underscore,1.7.0,high,24137
axios:No_npm_name,0.18.0,high,23826
axios:No_npm_name,0.18.0,high,23826
moment.js:moment,2.20.1,high,23726
moment.js:moment,2.20.1,high,23726
jszip:No_npm_name,3.1.5,high,23168
moment.js:moment,2.29.3,high,22988
moment.js:moment,2.29.2,high,22160
moment.js:moment,2.18.1,high,21847
moment.js:moment,2.18.1,high,21847
moment.js:moment,2.18.1,high,21847
moment.js:moment,2.18.1,high,21639
moment.js:moment,2.18.1,high,21639
moment.js:moment,2.18.1,high,21639
handlebars:No_npm_name,4.5.3,high,21600
handlebars:No_npm_name,4.5.3,high,21600
axios:No_npm_name,0.21.0,high,21206
axios:No_npm_name,0.19.0,high,20945
moment.js:moment,2.29.1,high,20881
moment.js:moment,2.29.1,high,20881
underscore.js:underscore,1.8.3,high,20285
underscore.js:underscore,1.8.3,high,20138
axios:No_npm_name,0.21.2,high,19846
moment.js:moment,2.24.0,high,19377
moment.js:moment,2.24.0,high,19377
moment.js:moment,2.20.1,high,19014
moment.js:moment,2.20.1,high,19014
jszip:No_npm_name,3.3.0,high,18710
moment.js:moment,2.27.0,high,18594
moment.js:moment,2.27.0,high,18594
underscore.js:underscore,1.4.4,high,18592
moment.js:moment,2.29.3,high,18582
axios:No_npm_name,0.19.0,high,18566
axios:No_npm_name,0.18.0,high,17944
axios:No_npm_name,0.18.0,high,17944
jszip:No_npm_name,3.7.1,high,17865
moment.js:moment,2.21.0,high,17811
moment.js:moment,2.21.0,high,17811
moment.js:moment,2.24.0,high,17433
moment.js:moment,2.24.0,high,17433
underscore.js:underscore,1.8.3,high,17274
underscore.js:underscore,1.8.3,high,17239
axios:No_npm_name,0.19.0,high,17224
moment.js:moment,2.29.1,high,17030
moment.js:moment,2.29.1,high,17030
axios:No_npm_name,0.18.1,high,16809
axios:No_npm_name,0.16.2,high,16233
axios:No_npm_name,0.16.2,high,16233
moment.js:moment,2.29.1,high,16227
moment.js:moment,2.29.1,high,16227
moment.js:moment,2.10.6,high,16224
moment.js:moment,2.10.6,high,16224
axios:No_npm_name,0.19.0,high,16091
underscore.js:underscore,1.9.1,high,15860
moment.js:moment,2.29.1,high,15709
moment.js:moment,2.29.1,high,15709
